ID,species,species2,country,region,town,Sample ID,year,15N,Collected,Diet
201067,M.foina,M.foina,India,Jammu and Kashmir,"Dandwar, Pir Panjal Range",201067,1915,5.35,NMNH,omnivore
276128,V.vulpes,V.vulpes,United States,Alaska,Naknek Lake,276128,1945,5.7,NMNH,omnivore
294410,V.vulpes,V.vulpes,United States,Alaska,Chandler Lake,294410,1952,6.79,NMNH,omnivore
294411,V.vulpes,V.vulpes,United States,Alaska,Chandler Lake,294411,1952,7.82,NMNH,omnivore
294412,V.vulpes,V.vulpes,United States,Alaska,Chandler Lake,294412,1952,7,NMNH,omnivore
276127,V.vulpes,V.vulpes,United States,Alaska,"Naknek Lake, Alaska peninsula",276127,1945,7.36,NMNH,omnivore
118625,P.lotor,P.lotor,United States,New Mexico,Santa Rosa,11825,1902,9.93,NMNH,omnivore
127592,P.lotor,P.lotor,United States,New Mexico,Santa Rosa,127592,1903,11.5,NMNH,omnivore
132483,P.lotor,P.lotor,United States,New Mexico,Rinconada,132483,1904,10.45,NMNH,omnivore
158241,P.lotor,P.lotor,United States,New Mexico,"Deming, 8 Mi E",158241,1908,13.58,NMNH,omnivore
160601,P.lotor,P.lotor,United States,New Mexico,"Magdalena Mountains, Water Canyon",160601,1909,10.27,NMNH,omnivore
158243,P.lotor,P.lotor,United States,New Mexico,Red Rock,158243,1908,12.9,NMNH,omnivore
2336,E.Barbara,E.Barbara,Peru,Peru and Venezuela,pasco,2336,1997,6.88,MUSM ,omnivore
12674,E.Barbara,E.Barbara,Peru,Peru and Venezuela,oxapampa,12674,1990,9.16,MUSM ,omnivore
5846,E.Barbara,E.Barbara,Peru,Peru and Venezuela,pasco,5846,1991,6.86,MUSM ,omnivore
7206,E.Barbara,E.Barbara,Peru,Peru and Venezuela,san martin,7206,1990,7.24,MUSM ,omnivore
2155,E.Barbara,E.Barbara,Peru,Peru and Venezuela,cajamarca,2155 a,1990,6.72,MUSM ,omnivore
9442,E.Barbara,E.Barbara,Peru,Peru and Venezuela,,9442,1994,8.81,MUSM ,omnivore
276055,P.vitulina,P.vitulina,United States,Alaska,Bering Sea,276055,1947,17.67,NMNH,piscivore
276056,P.vitulina,P.vitulina,United States,Alaska,bering Sea,276056,1947,18.61,NMNH,piscivore
276057,P.vitulina,P.vitulina,United States,Alaska,Bering Sea,276057,1947,17.96,NMNH,piscivore
276365,P.vitulina,P.vitulina,United States,Alaska,bering Sea,276365,1947,18.19,NMNH,piscivore
258349,U.thibetanus,U.thibetanus,China,Szechuan,"West China Mountains, Chengtu",258349,1933,5.63,NMNH,bear
258352,U.thibetanus,U.thibetanus,China,Szechuan,Kuan Shien,258430,1933,2.96,NMNH,bear
239645,U.thibetanus,U.thibetanus,China,Szechuan,Wen Chuan,239645,1933,2.85,NMNH,bear
258646,U.thibetanus,U.thibetanus,China,Szechuan,Wei Chow,258646,1933,5.25,NMNH,bear
259011,U.thibetanus,U.thibetanus,China,Szechuan,Wen Chuan,259011,1934,6.19,NMNH,bear
20119,U.thibetanus,U.thibetanus,India,Jammu and Kashmir,Lalab,20119,1891,4.24,NMNH,bear
21844,U.thibetanus,U.thibetanus,India,Jammu and Kashmir,Lalab,21844,1891,2.96,NMNH,bear
21845,U.thibetanus,U.thibetanus,India,Jammu and Kashmir,Lalab,21845,1891,4.02,NMNH,bear
84092,U.thibetanus,U.thibetanus,India,Jammu and Kashmir,Per Panjal Range,84092,1897,0.95,NMNH,bear
84093,U.thibetanus,U.thibetanus,India,Jammu and Kashmir,Per Panjal Range,84093,1897,3.82,NMNH,bear
155575,T.ornatus,T.ornatus.V,Venezuela,Peru and Venezuela,"Montanas, Merida",155575,1908,3.29,NMNH,bear
168115,T.ornatus,T.ornatus.V,Venezuela,Peru and Venezuela,"La Gulata Mountains, La Culata Mountains, Merida",168115,1907,4.43,NMNH,bear
170656,T.ornatus,T.ornatus.V,Venezuela,Peru and Venezuela,"Rubio Mountains,Merida",170656,1910,4.91,NMNH,bear
171011,T.ornatus,T.ornatus.V,Venezuela,Peru and Venezuela,Merida,171011,1910,4.57,NMNH,bear
OXA002,T.ornatus,T.ornatus,Peru,Peru and Venezuela,oxapampa,OXA002,2017,4.96,Field,bear
AM001,T.ornatus,T.ornatus,Peru,Peru and Venezuela,amazonas,AM001,2002,3.39,Field,bear
OXA001,T.ornatus,T.ornatus,Peru,Peru and Venezuela,oxapampa,OXA001,2017,3.01,Field,bear
22965,T.ornatus,T.ornatus,Peru,Peru and Venezuela,huanuco,22965,2006,4.93,MUSM ,bear
2966,T.ornatus,T.ornatus,Peru,Peru and Venezuela,huanuco,2966,2006,6.79,MUSM ,bear
T001,T.ornatus,T.ornatus,Peru,Peru and Venezuela,,,1990,4.08,MUSM ,bear
197254,H.malayanus,H.malayanus,Indonesia,Borneo,Tandjong Seglu,197254,1913,7.44,NMNH,bear
198713,H.malayanus,H.malayanus,Indonesia,Borneo,Sungai Mahakam,198713,1914,4.76,NMNH,bear
198714,H.malayanus,H.malayanus,Indonesia,Borneo,Tandjong Seglu,198714,1913,6.17,NMNH,bear
198715,H.malayanus,H.malayanus,Indonesia,Borneo,Sungai Djambajan,198715,1914,6.62,NMNH,bear
286411,U.americanus,U.americanus,United States,Alaska,"Iniskin Bay, North Side Of Cook Inlet",286411,1950,5.29,NMNH,bear
286832,U.americanus,U.americanus,United States,Alaska,"Iniskin Bay, Cook Inlet",286832,1950,4.52,NMNH,bear
292927,U.americanus,U.americanus,United States,Alaska,"Inukposukruk Creek, Near Head Of John R. Brooks Range",292927,1951,3.78,NMNH,bear
224500,U.americanus,U.americanus,United States,New Mexico,Rociada,224500,1916,4.97,NMNH,bear
224501,U.americanus,U.americanus,United States,New Mexico,Mescalero,224501,1916,4.8,NMNH,bear
231353,U.americanus,U.americanus,United States,New Mexico,"Luna, Lincoln County",231353,1918,6.69,NMNH,bear
231356,U.americanus,U.americanus,United States,New Mexico,"Monticello, Sierra County",231356,1918,5.26,NMNH,bear
231358,U.americanus,U.americanus,United States,New Mexico,"Magdalena, Socorro County",231358,1918,6.43,NMNH,bear
231361,U.americanus,U.americanus,United States,New Mexico,Senorito,231361,1918,6.72,NMNH,bear
