,X.1,X,Tray..,ID.Tray,ID,species,species.1,State,weigth,Sample.ID,X15N,R,X15N_percent,Total.N,Diet,Locality,year,date,region,speciesID,species2,animal
123,124,124,2,C4,231286,U.arctos,U.arctos,New Mexico,1.47,231286,9.47,0.00371,0.36976,208.56,bear,"Taos, 20 Mi SE On Rio Chiquito",1918,1918,New Mexico-US,UR,U.arctos,U.arctos.NM
124,125,125,2,C5,231287,U.arctos,U.arctos,New Mexico,0.73,231287,10.55,0.00372,0.37015,106.22,bear,"Taos, 20 Mi SE On Rio Chiquito",1918,1918,New Mexico-US,UR,U.arctos,U.arctos.NM
125,126,126,2,C6,235098,U.arctos,U.arctos,New Mexico,1.31,235098,8.75,0.00371,0.3695,177.41,bear,"Fairview, 35 Mi NE",1920,1920,New Mexico-US,UR,U.arctos,U.arctos.NM
126,127,127,2,C7,224496,U.arctos,U.arctos,New Mexico,0.98,224496,7.19,0.0037,0.36893,143.91,bear,"cuba, sandoval county",1916,1916,New Mexico-US,UR,U.arctos,U.arctos.NM
127,128,128,2,C8,21691,U.arctos,U.arctos,NIndia,0.93,21691,2.9,0.00369,0.36736,120.94,bear,Nag Marg,1893,1893,Jammu and Kashmir-India,UR,U.arctos,U.arctos
128,129,129,2,C11,512167,U.maritimus,U.maritimus,Alaska,1.65,512167,20.86,0.00375,0.37392,237.82,bear,"Point Hope and Russian Coast, Ice Pack Between",1971,1971,Alaska-US,UM,U.maritimus,U.maritimus
129,130,130,2,C12,512168,U.maritimus,U.maritimus,Alaska,1.35,512168,21.27,0.00375,0.37406,192.53,bear,"Point Hope and Russian Coast, Ice Pack Between",1971,1971,Alaska-US,UM,U.maritimus,U.maritimus
130,131,131,2,D1,512169,U.maritimus,U.maritimus,Alaska,1.17,512169,21.07,0.00375,0.37399,165.95,bear,"Point Hope and Russian Coast, Ice Pack Between",1971,1971,Alaska-US,UM,U.maritimus,U.maritimus
131,132,132,2,D2,512170,U.maritimus,U.maritimus,Alaska,1.62,512170,22.3,0.00376,0.37444,235.54,bear,"Point Hope and Russian Coast, Ice Pack Between",1971,1971,Alaska-US,UM,U.maritimus,U.maritimus
132,133,133,2,D3,512171,U.maritimus,U.maritimus,Alaska,0.99,512171,20.56,0.00375,0.37381,139.32,bear,"Point Hope and Russian Coast, Ice Pack Between",1971,1971,Alaska-US,UM,U.maritimus,U.maritimus
133,134,134,2,D4,512172,U.maritimus,U.maritimus,Alaska,0.9,512172,20.83,0.00375,0.37391,125.08,bear,"Barter Island, 15 Mi N",1975,1975,Alaska-US,UM,U.maritimus,U.maritimus
134,135,135,2,D5,258556,C.temminckii,C.temminckii,Sichuan,0.49,254795,4.98,0.00369,0.36812,63.83,carnivore,Mupin,1929,1929,Sichuan-China,CT,C.temminckii,C.temminckii
135,136,136,2,D6,258694,C.temminckii,C.temminckii,Sichuan,0.86,258694,4.42,0.00369,0.36792,120.48,carnivore,Wen Chuan,1933,1933,Sichuan-China,CT,C.temminckii,C.temminckii
136,137,137,2,D7,259016,C.temminckii,C.temminckii,Sichuan,0.98,259016,5.13,0.0037,0.36818,139.32,carnivore,Wen Chuan,1934,1934,Sichuan-China,CT,C.temminckii,C.temminckii
137,138,138,2,D8,259012,C.temminckii,C.temminckii,Sichuan,0.48,259012,7.01,0.0037,0.36886,66.14,carnivore,Wen Chuan,1934,1934,Sichuan-China,CT,C.temminckii,C.temminckii
138,139,139,2,D9,153846,P.bengalensis,P.bengalensis,Borneo,0.71,153846,8.4,0.00371,0.36937,101.15,carnivore,"Kendawangan River, Lanchut",1908,1908,Borneo-Indonesia,PB,P.bengalensis,P.bengalensis.B
139,140,140,2,D10,196601,P.bengalensis,P.bengalensis,Borneo,0.21,196601,7.17,0.0037,0.36892,30.82,carnivore,Labuan Bimi,1913,1913,Borneo-Indonesia,PB,P.bengalensis,P.bengalensis.B
140,141,141,2,D11,198055,P.bengalensis,P.bengalensis,Borneo,0.62,198055,10.37,0.00371,0.37009,88.26,carnivore,"Samarinda, N Bank",1913,1913,Borneo-Indonesia,PB,P.bengalensis,P.bengalensis.B
141,142,142,2,D12,198056,P.bengalensis,P.bengalensis,Borneo,1.24,198056,9.92,0.00371,0.36992,158.61,carnivore,"Samarinda, N Bank",1913,1913,Borneo-Indonesia,PB,P.bengalensis,P.bengalensis.B
142,143,143,2,E1,198057,P.bengalensis,P.bengalensis,Borneo,1.04,198057,9.8,0.00371,0.36988,145.29,carnivore,Sungai Karangan,1913,1913,Borneo-Indonesia,PB,P.bengalensis,P.bengalensis.B
143,144,144,2,E2,62108,P.bengalensis,P.bengalensis,NIndia,0.96,62108,5.3,0.0037,0.36824,127.37,carnivore,valley of kasmir,1905,1905,Jammu and Kashmir-India,PB,P.bengalensis,P.bengalensis.I
144,145,145,2,E3,173334,P.bengalensis,P.bengalensis,NIndia,0.92,173334,5.89,0.0037,0.36845,110.82,carnivore,Hyhama,1911,1911,Jammu and Kashmir-India,PB,P.bengalensis,P.bengalensis.I
145,146,146,2,E4,173335,P.bengalensis,P.bengalensis,NIndia,1.16,173335,5.82,0.0037,0.36843,139.78,carnivore,"Hyhama, Valleey of Kashmir",1911,1911,Jammu and Kashmir-India,PB,P.bengalensis,P.bengalensis.I
146,147,147,2,E5,201069,P.bengalensis,P.bengalensis,NIndia,0.74,201069,5.31,0.0037,0.36824,103.46,carnivore,"Dandwar, Pir Panjal Range",1915,1915,Jammu and Kashmir-India,PB,P.bengalensis,P.bengalensis.I
147,148,148,2,E6,201070,P.bengalensis,P.bengalensis,NIndia,1.16,201070,5.31,0.0037,0.36824,154.02,carnivore,Dandwar,1915,1915,Jammu and Kashmir-India,PB,P.bengalensis,P.bengalensis.I
148,149,149,2,E7,295123,C.lupus,C.lupus,Alaska,0.43,295123,5.15,0.0037,0.36818,64.75,carnivore,Umiat,1952,1952,Alaska-US,CL,C.lupus,C.lupus
149,150,150,2,E8,195124,C.lupus,C.lupus,Alaska,0.73,195124,6.1,0.0037,0.36853,108.06,carnivore,Umiat,1952,1952,Alaska-US,CL,C.lupus,C.lupus
150,151,151,2,E9,195125,C.lupus,C.lupus,Alaska,0.52,195125,4.86,0.00369,0.36808,73.98,carnivore,Umiat,1952,1952,Alaska-US,CL,C.lupus,C.lupus
151,152,152,2,E10,292928,C.lupus,C.lupus,Alaska,1.76,292928,6.89,0.0037,0.36882,224.11,carnivore,"Ramanzof, Schrader Lake",1952,1952,Alaska-US,CL,C.lupus,C.lupus
152,153,153,2,E11,294403,C.lupus,C.lupus,Alaska,0.6,294403,6.86,0.0037,0.36881,87.8,carnivore,Arctic Village,1951,1951,Alaska-US,CL,C.lupus,C.lupus
153,154,154,2,E12,271894,C.lupus,C.lupus,Alaska,0.78,271894,5.98,0.0037,0.36849,105.76,carnivore,"Seward Peninsula, Etchepuk River; Golovin Reindeer Station",1941,1941,Alaska-US,CL,C.lupus,C.lupus
154,155,155,2,F1,274063,C.lupus,C.lupus,Alaska,1.26,274063,12.17,0.00372,0.37074,173.74,carnivore,Mount Mckinley National Park,1943,1943,Alaska-US,CL,C.lupus,C.lupus
155,156,156,2,F2,276126,C.lupus,C.lupus,Alaska,0.99,276126,8.04,0.00371,0.36924,136.11,carnivore,"Naknek Lake, Alaska Peninsula",1945,1945,Alaska-US,CL,C.lupus,C.lupus
156,157,157,2,F3,324994,C.lupus,C.lupus,Alaska,0.84,324994,6.6,0.0037,0.36871,118.64,carnivore,"Anchorage, Arctic Health Research Center",1962,1962,Alaska-US,CL,C.lupus,C.lupus
157,158,158,2,F4,275163,C.lupus,C.lupus,Alaska,0.64,275163,6.23,0.0037,0.36858,93.79,carnivore,"Teller, 12 Mi From",1953,1953,Alaska-US,CL,C.lupus,C.lupus
158,159,159,2,F5,223494,L.rufus,L.rufus,New Mexico,1.37,223494,7.97,0.00371,0.36921,177.41,carnivore,Luna,1916,1916,New Mexico-US,LR,L.rufus,L.rufus
159,160,160,2,F6,223495,L.rufus,L.rufus,New Mexico,1.21,223495,7.27,0.0037,0.36896,147.13,carnivore,Luna,1916,1916,New Mexico-US,LR,L.rufus,L.rufus
160,161,161,2,F7,223496,L.rufus,L.rufus,New Mexico,0.94,223496,6.64,0.0037,0.36873,129.21,carnivore,Luna,1916,1916,New Mexico-US,LR,L.rufus,L.rufus
161,162,162,2,F8,223514,L.rufus,L.rufus,New Mexico,1.58,223514,8.48,0.00371,0.3694,188.87,carnivore,Abiquiu,1916,1916,New Mexico-US,LR,L.rufus,L.rufus
162,163,163,2,F9,223527,L.rufus,L.rufus,New Mexico,0.47,223527,7.64,0.0037,0.36909,68.44,carnivore,El Vado,1916,1916,New Mexico-US,LR,L.rufus,L.rufus
163,164,164,2,F10,223528,L.rufus,L.rufus,New Mexico,1.45,223528,9.79,0.00371,0.36988,181.99,carnivore,El Vado,1916,1916,New Mexico-US,LR,L.rufus,L.rufus
164,165,165,2,F11,223538,L.rufus,L.rufus,New Mexico,0.76,223538,10.38,0.00371,0.37009,102.08,carnivore,El Vado,1916,1916,New Mexico-US,LR,L.rufus,L.rufus
165,166,166,4,A1,21692,U.arctos,U.arctos,NIndia,0.45,21692,0.53,0.00368,0.3665,65.03,bear,Krishnagunga range,1893,1893,Jammu and Kashmir-India,UR,U.arctos,U.arctos
166,167,167,4,A2,199518,M. ursinus,M. ursinus,CIndia,0.71,199518,6.89,0.0037,0.36882,106.07,bear,Madhya Pradesh,1914,1914,Jammu and Kashmir-India,MU,M. ursinus,M. ursinus
